candidate_id,year,journal,article_url,figure_number,style_learning_tier,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,rights_status,license,figure_id,caption,source_media_url,asset_path,content_type,size_bytes,sha256,inspection_status
S15-020,2025,Applied and Environmental Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12366296/,6,A_style_reference,electron_transfer,2d_pathway_cutaway,semiconductor_to_membrane_eet,high,public_mirror_allowed_cc_by,Creative Commons Attribution 4.0 International license,F6,Schematic illustration of the ultrafast electron transfer mechanism at Cd x Zn 1- x S/MR-1 interface.,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5108/12366296/ebd3332d0e54/aem.00138-25.f006.jpg,assets/stage1_5/S15-020/S15-020_fig6.jpg,image/jpeg,130373,d7a7eef7aa1bfe2f3eff59fde097243580803a465f40cd821d9808f3ef6d4381,direct_contact_sheet_screened_then_harvested
S15-022,2026,Chemical Reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,1,A_style_reference,integrated_mechanism,editorial_2d_overview,radial_biohybrid_design_map,high,public_mirror_allowed_cc_by,CC-BY,fig1,"Schematic illustration of unravelling microbe–semiconductor interfacial electron transfer for efficient solar-driven biosynthesis: fundamentals and mechanisms, current design of microbe–semiconductor biohybrid interfaces, characterizations of biohybrid interfacial electron transfer, and future opportunities and outlook.",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1673/13107470/e2c95bf71d2a/cr5c00900_0001.jpg,assets/stage1_5/S15-022/S15-022_fig1.jpg,image/jpeg,199859,91e01d40d55532a5d436428eaee8dd9d4ab2d30433d6ba9472196ab589b32ed1,direct_contact_sheet_screened_then_harvested
S15-022,2026,Chemical Reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,6,A_style_reference,material_microbe_interface,flat_2d_comparison,four_biohybrid_architectures,high,public_mirror_allowed_cc_by,CC-BY,fig6,Schematic illustration of integrated microbe–semiconductor biohybrid systems. (a) Dispersed colloidal semiconductor–microbe biohybrid system. (b) Semiconductor photocatalyst sheet–microbe biohybrid system. (c) Microbe–semiconductor PEC biohybrid system. (d) Microbe–semiconductor “PV+EC” biohybrid system.,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1673/13107470/497d80e0251b/cr5c00900_0006.jpg,assets/stage1_5/S15-022/S15-022_fig6.jpg,image/jpeg,95726,9b7512a13153c83d8a4fa0dee2a69a9ed7229e5aec7f0bf7e74539434f9f2e50,direct_contact_sheet_screened_then_harvested
S15-023,2025,ACS Sustainable Chemistry & Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12635957/,1,A_style_reference,integrated_mechanism,mixed_2d_mechanism,photoelectrode_microbe_partner_flow,high,public_mirror_allowed_cc_by,CC-BY,fig1,"Mechanistic schematic of the semiartificial biohybrid system coupling solar-driven CO 2 reduction to microbial chain elongation. A diagram depicting the mechanistic pathway of photosynthetic ethanol and acetate production from CO 2 on S. ovata |MgO|CuBi 2 O 4 |FTO. The photocathode (CuBi 2 O 4 layer on FTO with MgO surface passivation) absorbs visible light (hv), promoting charge separation and generating photogenerated electrons within the conduction band (CB, −0.55 V vs SHE at pH 7.0). The reduction potential of H + /H 2 , CO 2 /CH 3 CH 2 OH, and CO 2 /CH 3 COOH are −0.41, −0.33, and −0.27 V (vs SHE at pH 7.0), respectively. S. ovata , shown interacting with the surface of the photocathode, receives electrons directly via outer membrane electron carriers such as c-type cytochromes or hydrogenase (orange dashed line), or indirectly through H 2 produced at the interface and subsequently taken up by the microbe (red dashed line). CO 2 is taken up from the gas phase (blue dashed line) and metabolized through the Wood–Ljungdahl pathway into acetyl-CoA, forming either biomass, acetate, or undergoing further enzymatic reduction to ethanol. This ethanol and acetate are then fed to C. kluyveri , which utilizes the C 2 products and elongates them into higher-value C 4 and C 6 carboxylic acids, specifically butyrate (CH 3 CH 2 CH 2 COO – ) and caproate (CH 3 CH 2 CH 2 CH 2 CH 2 COO – ), along with H 2 gas as a byproduct.",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/b4f1/12635957/29e591e33648/am5c15023_0001.jpg,assets/stage1_5/S15-023/S15-023_fig1.jpg,image/jpeg,120595,a8dfecce77f364f1b51d52611d34205c93df8a74b13de932ae58b001328dffb0,direct_contact_sheet_screened_then_harvested
S15-023,2025,ACS Sustainable Chemistry & Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12635957/,4,B_style_reference,microbial_interaction,mixed_schematic_data,bioelectrochemical_to_fermentation_pathway,high,public_mirror_allowed_cc_by,CC-BY,fig4,"(a) Schematic representation of BPEC-driven CO 2 RR to C 2 chemicals (acetate and ethanol), coupled to the fermentation mechanism with C. kluyveri . Briefly, the reverse β-oxidation cycle converts ethanol to acetyl-CoA, with one molecule in every six being oxidized to produce an additional acetate equivalent for utilization in adenosine triphosphate (ATP) production. The remaining 5 acetyl-CoA are combined with acetyl-CoA generated in the reverse β-oxidation cycle, with the first cycle producing 3 equiv of butyryl-CoA. This is then converted to butyrate or cycled again and combined with an additional acetyl-CoA molecule, yielding hexanoyl-CoA, which can yield caproate. Alongside, an energy regeneration mechanism is cycled as protons are pumped across the cell membrane, which balances the NADH/NAD + pool. This proton pool creates a force that allows enhanced recovery of 2.5 ATP molecules per cycle. (b) Quantities of ethanol and acetate produced via the BPEC reaction with S. ovata . (c) Quantities of acetate, ethanol, butyrate, and caproate detected postfermentation (3 days) with C. kluyveri . Error bars correspond to s.d ( n = 3 independent samples).",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/b4f1/12635957/8f1fa28a788d/am5c15023_0004.jpg,assets/stage1_5/S15-023/S15-023_fig4.jpg,image/jpeg,145723,4bc1bf6173425f94efd413e58d5e3c230e9e4f59de70e708e958311980315d84,direct_contact_sheet_screened_then_harvested
