candidate_id,year,journal,article_url,figure_number,style_learning_tier,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,license,license_url,figure_id,caption,source_image_url,resolved_image_url,asset_path,content_type,size_bytes,sha256,inspection_status
S15-001,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11043409/,5,B_style_reference,integrated_mechanism,mixed_schematic_data,evidence_to_model,high,http://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Fig5,"A The color gradients represent the logarithm of transcripts per million (TPM) of major genes in the corresponding metagenome-assembled genomes (MAGs) classified as methanotrophs and denitrifiers, respectively, in the heavy DNA from 13 CH 4 incubation. The definitions of genes are listed in Supplementary Table 7 . B Changes in the 13 C-labeled fraction of metabolites derived from 13 CH 4 oxidation in the three typical soils. The square, circle, and triangle in ( A ) represent MAGs recovered from black soil, red soil, and yellow soil, respectively. The error bar in ( B ) represents the standard error of triplicate samples, and data are presented as mean values ± standard error ( n = 3; one-way ANOVA followed by two-sided Tukey post hoc test). Different lowercase letters in ( B ) indicate significant differences between treatments ( p < 0.05). Exact p values and Source data are provided as a Source Data file.",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/c98c/11043409/3299828dad41/41467_2024_47827_Fig5_HTML.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/c98c/11043409/3299828dad41/41467_2024_47827_Fig5_HTML.jpg,assets/stage1_5/S15-001/S15-001_fig5.jpg,image/jpeg,238738,db4891eb98d8b4de3b3a07d1f565ab151671324e727a956e8ddbf14f061bb50b,screened_then_harvested
S15-002,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12480950/,7,A_style_reference,electron_transfer,flat_2d_mechanism,linear_electron_flow,high,http://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Fig7,"Electrons generated by EET microbes through glycolysis or dissimilatory sulfur reduction are transferred stepwise to extracellular electron shuttles (i.e., humic substances). These electrons are then further transferred via a series of cytochromes to denitrification enzymes. DHNA, 1,4-dihydroxy-2-naphthoyl-CoA; DMK demethylmenaquinone; IPP isopentenyl pyrophosphate; OMC outer membrane cytochrome; HPMC heme-containing periplasmic membrane-bound cytochrome; PSC periplasmic soluble cytochrome; CSC complex stabilizing cytochrome; Nap periplasmic nitrate reductase; Nar membrane-bound nitrate reductase; Nir nitrite reductase; Nor nitric oxide reductase; Nos nitrous oxide reductase.",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/067e/12480950/d22c02c38b9e/41467_2025_63601_Fig7_HTML.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/067e/12480950/d22c02c38b9e/41467_2025_63601_Fig7_HTML.jpg,assets/stage1_5/S15-002/S15-002_fig7.jpg,image/jpeg,172388,a37eafd285526e5e2942f64ed388946ea21007ca89ba6ca01733dd5ac9e6d0fa,screened_then_harvested
S15-003,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12521356/,1,A_style_reference,material_interface,editorial_2d_overview,architecture_taxonomy,high,http://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Fig1,"a Representative biocatalyst schemes from subcellar to whole-cell system; Structure schemes of two kinds of bio-hybrid PEC systems: b Type I, abiotic conductive electrode + biotic catalyst system; c Type II, abiotic light-harvesting semiconductor + biotic catalyst.",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/8b3c/12521356/228b0d4f29e7/41467_2025_64931_Fig1_HTML.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/8b3c/12521356/228b0d4f29e7/41467_2025_64931_Fig1_HTML.jpg,assets/stage1_5/S15-003/S15-003_fig1.jpg,image/jpeg,100491,884567c3a7e3e628ed85d799574bf9ef33bed23724e138c5fa6bbf85e9207976,screened_then_harvested
S15-003,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12521356/,3,B_style_reference,material_interface,flat_2d_workflow,device_comparison,high,http://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Fig3,Device structure of the H-cell with enzyme as the bio-catalyst and flow-cell with whole cell microbials as the bio-catalyst.,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/8b3c/12521356/e6bcaaba9175/41467_2025_64931_Fig3_HTML.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/8b3c/12521356/e6bcaaba9175/41467_2025_64931_Fig3_HTML.jpg,assets/stage1_5/S15-003/S15-003_fig3.jpg,image/jpeg,100814,ccf67aaa9907a4a80f8b57490e9fffe98307ff0aca91fe682736424c2ce0393c,screened_then_harvested
S15-004,2026,Chemical Reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,1,A_style_reference,integrated_mechanism,editorial_2d_overview,central_hub,high,CC-BY,,fig1,"Schematic illustration of unravelling microbe–semiconductor interfacial electron transfer for efficient solar-driven biosynthesis: fundamentals and mechanisms, current design of microbe–semiconductor biohybrid interfaces, characterizations of biohybrid interfacial electron transfer, and future opportunities and outlook.",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1673/13107470/e2c95bf71d2a/cr5c00900_0001.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1673/13107470/e2c95bf71d2a/cr5c00900_0001.jpg,assets/stage1_5/S15-004/S15-004_fig1.jpg,image/jpeg,199859,91e01d40d55532a5d436428eaee8dd9d4ab2d30433d6ba9472196ab589b32ed1,screened_then_harvested
S15-005,2026,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC13284237/,5,A_style_reference,integrated_mechanism,flat_2d_mechanism,evidence_to_model,high,http://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Fig5,"a Schematic of the PESbR pathway showing the generation, transfer and utilization of photoelectrons for sustainable Sb(V) reduction. b Metatranscriptomic responses in PESbR microcosms relative to controls. c Isolation from sediments corresponding to two PESbR-associated genera, Sphingomonas and Bosea . d Sb(V) reduction by the isolates in pure-culture PESbR microcosms under light–dark cycles. e qPCR assays showing higher relative abundance of Sb(V) reduction-associated genes in light-exposed isolates compared with dark controls (16S-normalized). Data are presented as mean values ± SE.",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a514/13284237/e0ff2fad3432/41467_2026_72108_Fig5_HTML.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a514/13284237/e0ff2fad3432/41467_2026_72108_Fig5_HTML.jpg,assets/stage1_5/S15-005/S15-005_fig5.jpg,image/jpeg,147613,4b86cbd36c5e73280c95af5325432931741e528e4b3d09245f8ffb4ddbeaa6a7,screened_then_harvested
