id,source_group,asset_path,decision
R081,R,assets/raw/nature-water/nature-water-002-PMC13533828-Fig2.webp,delete
R082,R,assets/raw/nature-water/nature-water-004-PMC13197224-Fig5.jpg,delete
R083,R,assets/raw/nature-water/nature-water-005-PMC13197224-Fig1.jpg,delete
R084,R,assets/raw/nature-water/nature-water-007-PMC12711573-Fig1.jpg,delete
R085,R,assets/raw/nature-water/nature-water-010-PMC12711573-Fig9.jpg,delete
R086,R,assets/raw/science/science-001-PMC7619465-F1.webp,delete
R087,R,assets/raw/science/science-002-PMC13107528-F3.jpg,delete
R088,R,assets/raw/science/science-003-PMC13107528-F5.jpg,delete
R089,R,assets/raw/science-advances/science-advances-001-PMC13557071-F4.webp,delete
R090,R,assets/raw/science-advances/science-advances-002-PMC13557071-F3.webp,delete
R091,R,assets/raw/science-advances/science-advances-003-PMC13557081-F1.webp,delete
R092,R,assets/raw/science-advances/science-advances-004-PMC13557081-F4.webp,delete
R093,R,assets/raw/science-advances/science-advances-005-PMC13557078-F3.webp,delete
R094,R,assets/raw/science-advances/science-advances-006-PMC13557078-F1.webp,delete
R095,R,assets/raw/science-advances/science-advances-007-PMC13557074-F1.webp,delete
R096,R,assets/raw/science-advances/science-advances-008-PMC13557074-F8.webp,delete
R097,R,assets/raw/science-advances/science-advances-009-PMC13557077-F1.webp,delete
R098,R,assets/raw/science-advances/science-advances-010-PMC13557077-F3.webp,delete
R099,R,assets/raw/science-advances/science-advances-011-PMC13557075-F3.webp,delete
R100,R,assets/raw/science-advances/science-advances-012-PMC13557075-F6.webp,delete
S001,S,assets/stage1_5/S15-001/S15-001_fig5.jpg,keep
S002,S,assets/stage1_5/S15-002/S15-002_fig7.jpg,keep
S003,S,assets/stage1_5/S15-003/S15-003_fig4.jpg,delete
S004,S,assets/stage1_5/S15-003/S15-003_fig8.jpg,delete
S005,S,assets/stage1_5/S15-004/S15-004_fig3.jpg,delete
S006,S,assets/stage1_5/S15-005/S15-005_fig2.jpg,delete
S007,S,assets/stage1_5/S15-005/S15-005_fig5.jpg,keep
S008,S,assets/stage1_5/S15-006/S15-006_fig1.jpg,delete
S009,S,assets/stage1_5/S15-006/S15-006_fig3.jpg,delete
S010,S,assets/stage1_5/S15-007/S15-007_fig3.jpg,delete
S011,S,assets/stage1_5/S15-008/S15-008_fig1.jpg,delete
S012,S,assets/stage1_5/S15-008/S15-008_fig3.jpg,delete
S013,S,assets/stage1_5/S15-009/S15-009_fig1.jpg,delete
S014,S,assets/stage1_5/S15-009/S15-009_fig4.jpg,delete
S015,S,assets/stage1_5/S15-010/S15-010_fig6.jpg,delete
S016,S,assets/stage1_5/S15-012/S15-012_fig1.jpg,delete
S017,S,assets/stage1_5/S15-013/S15-013_fig2.jpg,delete
S018,S,assets/stage1_5/S15-014/S15-014_fig3.jpg,delete
S019,S,assets/stage1_5/S15-015/S15-015_fig1.jpg,delete
S020,S,assets/stage1_5/S15-016/S15-016_fig4.jpg,delete
S021,S,assets/stage1_5/S15-017/S15-017_fig4.jpg,delete
S022,S,assets/stage1_5/S15-018/S15-018_fig2.jpg,delete
S023,S,assets/stage1_5/S15-019/S15-019_fig3.jpg,delete
S024,S,assets/stage1_5/S15-020/S15-020_fig3.jpg,delete
S025,S,assets/stage1_5/S15-021/S15-021_fig5.jpg,delete
S026,S,assets/stage1_5/S15-031/S15-031_fig1.jpg,keep
S027,S,assets/stage1_5/S15-031/S15-031_fig7.jpg,delete
S028,S,assets/stage1_5/S15-032/S15-032_fig2.jpg,delete
S029,S,assets/stage1_5/S15-032/S15-032_fig4.jpg,delete
S030,S,assets/stage1_5/S15-033/S15-033_fig4.jpg,delete
S031,S,assets/stage1_5/S15-034/S15-034_fig4.jpg,delete
S032,S,assets/stage1_5/S15-035/S15-035_fig3.jpg,delete
S033,S,assets/stage1_5/S15-036/S15-036_fig3.jpg,keep
S034,S,assets/stage1_5/S15-037/S15-037_fig4.jpg,delete
S035,S,assets/stage1_5/S15-037/S15-037_fig6.jpg,delete
S036,S,assets/stage1_5/S15-038/S15-038_fig1.jpg,delete
S037,S,assets/stage1_5/S15-038/S15-038_fig3.jpg,delete
S038,S,assets/stage1_5/S15-039/S15-039_fig4.jpg,delete
S039,S,assets/stage1_5/S15-040/S15-040_fig2.jpg,delete
S040,S,assets/stage1_5/S15-041/S15-041_fig2.jpg,delete
S041,S,assets/stage1_5/S15-042/S15-042_fig1.jpg,delete
S042,S,assets/stage1_5/S15-043/S15-043_fig7.jpg,keep
S043,S,assets/stage1_5/S15-049/S15-049_fig1.jpg,delete
S044,S,assets/stage1_5/S15-050/S15-050_fig1.jpg,delete
S045,S,assets/stage1_5/S15-052/S15-052_fig1.jpg,keep
S046,S,assets/stage1_5/S15-052/S15-052_fig3.jpg,delete
S047,S,assets/stage1_5/S15-052/S15-052_fig5.jpg,delete
S048,S,assets/stage1_5/S15-053/S15-053_fig2.jpg,delete
S049,S,assets/stage1_5/S15-053/S15-053_fig4.jpg,delete
S050,S,assets/stage1_5/S15-054/S15-054_fig4.jpg,delete
S051,S,assets/stage1_5/S15-055/S15-055_fig3.jpg,delete
S052,S,assets/stage1_5/S15-056/S15-056_fig1.jpg,delete
S053,S,assets/stage1_5/S15-057/S15-057_fig5.jpg,delete
S054,S,assets/stage1_5/S15-058/S15-058_fig1.jpg,delete
Z001,Z,assets/zotero/ACS-Central-Science/VFBRUWBG/ZOT-VFBRUWBG-G7CGL9X7-FIG1-P2.png,keep
Z002,Z,assets/zotero/ACS-Omega/ZMKN8NLH/ZOT-ZMKN8NLH-S6Q9RINY-FIG6-P8.png,delete
Z003,Z,assets/zotero/ACS-Sustainable-Chemistry-Engineering/8A78GAM9/ZOT-8A78GAM9-P7MZ8DZW-FIG2-P4.png,delete
Z004,Z,assets/zotero/ACS-Sustainable-Chemistry-Engineering/TJKGM8ZV/ZOT-TJKGM8ZV-I52H3Z33-FIG4-P6.png,delete
Z005,Z,assets/zotero/Advanced-Functional-Materials/C6I3P3J8/ZOT-C6I3P3J8-6HHHNYHB-FIG3-P5.png,delete
Z006,Z,assets/zotero/Advanced-Materials/X4KS4G67/ZOT-X4KS4G67-NKRFU5A7-FIG2-P4.png,delete
Z007,Z,assets/zotero/Advanced-Science/2PKIYCQE/ZOT-2PKIYCQE-PQGA52GB-FIG2-P4.png,delete
Z008,Z,assets/zotero/Advanced-Science/GRKQXGZV/ZOT-GRKQXGZV-EJJB66NH-FIG3-P5.png,delete
Z009,Z,assets/zotero/Angewandte-Chemie-International-Edition/FJ5UWFVX/ZOT-FJ5UWFVX-T72ZHZ7N-FIGScheme1-P2.png,keep
Z010,Z,assets/zotero/Applied-Catalysis-B-Environmental/8URVTIAK/ZOT-8URVTIAK-82S8MWQT-FIG2-P4.png,delete
Z011,Z,assets/zotero/Applied-Catalysis-B-Environmental/FHZ92YI9/ZOT-FHZ92YI9-HXQKXYSP-FIG7-P9.png,delete
Z012,Z,assets/zotero/Applied-Catalysis-B-Environmental/J4GTZQYR/ZOT-J4GTZQYR-I93YH8VJ-FIG3-P5.png,delete
Z013,Z,assets/zotero/Applied-Microbiology-and-Biotechnology/4WPM3SA5/ZOT-4WPM3SA5-BQTF2EUV-FIG1-P3.png,delete
Z014,Z,assets/zotero/Applied-Microbiology-and-Biotechnology/ENNZUIZ9/ZOT-ENNZUIZ9-KCVZCI7H-FIG2-P4.png,delete
Z015,Z,assets/zotero/Bioresource-Technology/3MNSQTVZ/ZOT-3MNSQTVZ-9K59TG86-FIG1-P3.png,delete
Z016,Z,assets/zotero/Bioresource-Technology/3MNSQTVZ/ZOT-3MNSQTVZ-9K59TG86-FIG2-P4.png,delete
Z017,Z,assets/zotero/Bioresource-Technology/3MNSQTVZ/ZOT-3MNSQTVZ-9K59TG86-FIG3-P5.png,delete
Z018,Z,assets/zotero/Bioresource-Technology/3MNSQTVZ/ZOT-3MNSQTVZ-9K59TG86-FIG5-P9.png,delete
Z019,Z,assets/zotero/Bioresource-Technology/3MNSQTVZ/ZOT-3MNSQTVZ-9K59TG86-FIG4-P7.png,keep
Z020,Z,assets/zotero/Bioresource-Technology/JJWDZWKP/ZOT-JJWDZWKP-86WI2D4S-FIG2-P4.png,delete
Z021,Z,assets/zotero/Bioresource-Technology/JJWDZWKP/ZOT-JJWDZWKP-86WI2D4S-FIG6-P7.png,keep
Z022,Z,assets/zotero/Bioresource-Technology/QW43VE8L/ZOT-QW43VE8L-PQGQHB3V-FIG3-P5.png,delete
Z023,Z,assets/zotero/Bioresource-Technology/WTQXSQ9D/ZOT-WTQXSQ9D-8KDQXATG-FIG1-P3.png,delete
Z024,Z,assets/zotero/Chemical-Engineering-Journal/3HDT7C2A/ZOT-3HDT7C2A-UBVS2V3L-FIG2-P4.png,delete
Z025,Z,assets/zotero/Chemical-Engineering-Journal/4RB9Q4KA/ZOT-4RB9Q4KA-77MVKMZ5-FIG2-P4.png,delete
Z026,Z,assets/zotero/Chemical-Engineering-Journal/9BZXZ4KQ/ZOT-9BZXZ4KQ-W6GVA5QY-FIG2-P4.png,delete
